,um,model
0,4.900400095357327,1.4652076907016057e-09
1,4.901200095337117,1.465684935314368e-09
2,4.902000095316907,1.4653592001662194e-09
3,4.902800095296698,1.4639901001922358e-09
4,4.903600095276488,1.4624608390764702e-09
5,4.904400095256278,1.4609986998735528e-09
6,4.905200095236069,1.4599862033704558e-09
7,4.906000095215859,1.4586060494422747e-09
8,4.906800095195649,1.4574334361017881e-09
9,4.9076000951754395,1.4561272093830612e-09
10,4.90840009515523,1.4551725144739462e-09
11,4.90920009513502,1.4554342853296091e-09
12,4.91000009511481,1.4555532842192756e-09
13,4.910800095094601,1.4538869356816786e-09
14,4.911600095074391,1.4531899668904456e-09
15,4.912400095054181,1.4535799995341727e-09
16,4.913200095033972,1.4537223345131051e-09
17,4.914000095013762,1.4528886669179585e-09
18,4.914800094993552,1.452147656780093e-09
19,4.9156000949733425,1.4506772295186502e-09
20,4.916400094953133,1.4493838389278738e-09
21,4.917200094932923,1.4489769792939063e-09
22,4.918000094912713,1.4497190968895626e-09
23,4.918800094892504,1.4511576735197577e-09
24,4.919600094872294,1.4515886382845913e-09
25,4.920400094852084,1.4506745119337766e-09
26,4.921200094831875,1.449307668189636e-09
27,4.922000094811665,1.448199340343345e-09
28,4.922800094791455,1.4474416967942777e-09
29,4.9236000947712455,1.4476489200046345e-09
30,4.924400094751036,1.447234924343843e-09
31,4.925200094730826,1.4462122460369241e-09
32,4.926000094710616,1.444498422652996e-09
33,4.926800094690407,1.4428553751110648e-09
34,4.927600094670197,1.4423456906648319e-09
35,4.928400094649987,1.441529663162098e-09
36,4.929200094629778,1.439569828386126e-09
37,4.930000094609568,1.4380252099027562e-09
38,4.930800094589358,1.4377696512164183e-09
39,4.9316000945691485,1.4373624900522652e-09
40,4.932400094548939,1.43624366272951e-09
41,4.933200094528729,1.4348501539894256e-09
42,4.934000094508519,1.4345468344474258e-09
43,4.93480009448831,1.4343017977835833e-09
44,4.9356000944681,1.4341254832630937e-09
45,4.93640009444789,1.4330837548329513e-09
46,4.937200094427681,1.4318529115712812e-09
47,4.938000094407471,1.4305099579316962e-09
48,4.938800094387261,1.4308072622112347e-09
49,4.9396000943670515,1.4312341507688676e-09
50,4.940400094346842,1.430699060580726e-09
51,4.941200094326632,1.4298064864756222e-09
52,4.942000094306422,1.429469343435423e-09
53,4.942800094286213,1.4288446031539857e-09
54,4.943600094266003,1.428194292337332e-09
55,4.944400094245793,1.4283742767506964e-09
56,4.945200094225584,1.4287887154822926e-09
57,4.946000094205374,1.4285191587052489e-09
58,4.946800094185164,1.4268485208586473e-09
59,4.9476000941649545,1.42544711827562e-09
60,4.948400094144745,1.424874344230639e-09
61,4.949200094124535,1.4248210491088198e-09
62,4.950000094104325,1.4246453433963204e-09
63,4.950800094084116,1.424159067381135e-09
64,4.951600094063906,1.422731037487226e-09
65,4.952400094043696,1.4215136801806883e-09
66,4.953200094023487,1.4210288524383538e-09
67,4.954000094003277,1.4203287778277823e-09
68,4.954800093983067,1.4191512102815977e-09
69,4.9556000939628575,1.4178229046378003e-09
70,4.956400093942648,1.4166647753141167e-09
71,4.957200093922438,1.4152232934730605e-09
72,4.958000093902228,1.4135302817105708e-09
73,4.958800093882019,1.412360704563822e-09
74,4.959600093861809,1.412550315146022e-09
75,4.960400093841599,1.4120175358349017e-09
76,4.96120009382139,1.4109722369615305e-09
77,4.96200009380118,1.410810234715421e-09
78,4.96280009378097,1.4105632043779683e-09
79,4.9636000937607605,1.409898256029661e-09
80,4.964400093740551,1.4092613388128071e-09
81,4.965200093720341,1.4090348589952977e-09
82,4.966000093700131,1.409331312022738e-09
83,4.966800093679922,1.409828810746556e-09
84,4.967600093659712,1.409682505433469e-09
85,4.968400093639502,1.408715276950237e-09
86,4.969200093619293,1.4069074888208777e-09
87,4.970000093599083,1.4056463955409382e-09
88,4.970800093578873,1.4057681259946158e-09
89,4.9716000935586635,1.406701152470987e-09
90,4.972400093538454,1.4067702485872177e-09
91,4.973200093518244,1.4061956758702271e-09
92,4.974000093498034,1.4054052238701484e-09
93,4.974800093477825,1.4039351833919391e-09
94,4.975600093457615,1.4026260672700155e-09
95,4.976400093437405,1.4018060856273823e-09
96,4.977200093417196,1.4015330016630433e-09
97,4.978000093396986,1.4012124716092958e-09
98,4.978800093376776,1.3998859011482588e-09
99,4.9796000933565665,1.3982807586133106e-09
100,4.980400093336357,1.3969428195150485e-09
101,4.981200093316147,1.396079798560186e-09
102,4.982000093295937,1.3958057851940755e-09
103,4.982800093275728,1.3953302992571886e-09
104,4.983600093255518,1.3937566863721565e-09
105,4.984400093235308,1.3927058495592051e-09
106,4.985200093215099,1.3915704927571043e-09
107,4.986000093194889,1.3910361360101474e-09
108,4.986800093174679,1.3905838323902646e-09
109,4.9876000931544695,1.3902364306753419e-09
110,4.98840009313426,1.3896857630175885e-09
111,4.98920009311405,1.389208096435744e-09
112,4.99000009309384,1.3883049699253042e-09
113,4.990800093073631,1.3877729577872646e-09
114,4.991600093053421,1.387243440887326e-09
115,4.992400093033211,1.3862458094839437e-09
116,4.993200093013002,1.3857993243097239e-09
117,4.994000092992792,1.386015038010147e-09
118,4.994800092972582,1.3864815872976775e-09
119,4.9956000929523725,1.3861671548639224e-09
120,4.996400092932163,1.3858715814593647e-09
121,4.997200092911953,1.3853356538901177e-09
122,4.998000092891743,1.3855371258872623e-09
123,4.998800092871534,1.3854692389152342e-09
124,4.999600092851324,1.3851224194119946e-09
125,5.000400092831114,1.3843305126897007e-09
126,5.001200092810905,1.3830122051101304e-09
127,5.002000092790695,1.381611364762165e-09
128,5.002800092770485,1.3807380864536049e-09
129,5.0036000927502755,1.380172509382883e-09
130,5.004400092730066,1.3795594985794372e-09
131,5.005200092709856,1.3789979427928374e-09
132,5.006000092689646,1.377903236869297e-09
133,5.006800092669437,1.3765913510474366e-09
134,5.007600092649227,1.37526665308909e-09
135,5.008400092629017,1.3747601501246232e-09
136,5.009200092608808,1.3749676786481047e-09
137,5.010000092588598,1.374559722174836e-09
138,5.010800092568388,1.3734581286263047e-09
139,5.0116000925481785,1.3719514072941575e-09
140,5.012400092527969,1.3705866291267783e-09
141,5.013200092507759,1.3693948787268485e-09
